	cond	pair	od600	sup440	sup590	bpb440	bpb590	od600avg	sup440avg	sup590avg	bpb440avg	bpb590avg	od600std	sup440std	sup590std	bpb440std	bpb590std	od600cv	od_n	ph_n	od600bs	od440bs	od590bs	r590_440	ph	ph_cv	od_iav	od_iav_ci	od_iav_std	od_iav_n	od_iav_p	od_iav_sig	od_max	od_max_ci	od_max_std	od_max_n	od_max_p	od_max_sig	ph_iav	ph_iav_p	ph_iav_sig	ph_min	ph_min_p	ph_min_sig	ph_min_diff1	ph_min_diff2	dist_prot	dist_path	seed_compete	seed_complem	seed_ratio	dist_ggdc
0	1040	('Af', 'Af')	['1.273', '1.371', '1.123', '1.454', '1.482', '1.506', '1.110', '1.570', '1.425', '1.111', '1.015', '1.172', '1.224', '1.407', '1.888', '1.931', '1.638', '1.729', '1.222', '1.332', '1.180', '1.312', '1.203', '1.520']	['0.177', '0.215', '0.155', '0.206', '0.165', '0.217', '0.160', '0.194', '0.185', '0.158', '0.159', '0.195', '0.219', '0.183', '0.170', '0.197', '0.184', '0.185', '0.142', '0.160', '0.148', '0.162', '0.133', '0.151']	['0.079', '0.107', '0.074', '0.099', '0.067', '0.109', '0.075', '0.100', '0.080', '0.071', '0.072', '0.099', '0.112', '0.081', '0.080', '0.093', '0.085', '0.084', '0.059', '0.069', '0.053', '0.076', '0.051', '0.070']	['0.804', '0.765', '0.821', '0.863', '0.807', '0.843', '0.782', '0.875', '0.856', '0.828', '0.810', '0.795', '0.852', '0.854', '0.823', '0.813', '0.839', '0.816', '1.037', '1.046', '1.045', '1.007', '1.034', '1.037']	['0.546', '0.530', '0.582', '0.580', '0.551', '0.574', '0.555', '0.600', '0.587', '0.556', '0.579', '0.575', '0.561', '0.581', '0.555', '0.486', '0.567', '0.524', '0.656', '0.641', '0.628', '0.624', '0.657', '0.692']	1.383	0.176	0.081	0.877	0.583	0.239	0.024	0.016	0.094	0.046	0.173	24	24	1.287	0.701	0.502	0.716	3.090	0.169														0.005	False											
1	1040	('Af', 'Am')	['1.331', '1.213', '1.306', '1.369', '1.314', '1.198', '1.309', '1.253', '1.372', '1.395', '1.297', '1.228']	['0.157', '0.198', '0.192', '0.181', '0.181', '0.179', '0.171', '0.167', '0.177', '0.199', '0.189', '0.191']	['0.074', '0.108', '0.091', '0.095', '0.092', '0.090', '0.076', '0.078', '0.087', '0.104', '0.099', '0.092']	['0.793', '0.839', '0.860', '0.796', '0.805', '0.803', '0.791', '0.790', '0.860', '0.816', '0.805', '0.841']	['0.554', '0.595', '0.561', '0.558', '0.566', '0.578', '0.544', '0.544', '0.570', '0.547', '0.565', '0.592']	1.299	0.182	0.090	0.817	0.565	0.062	0.012	0.010	0.025	0.016	0.047	12	12	1.203	0.635	0.475	0.748	3.123	0.059	1.014	1.187	0.294	24.000	0.005	True	1.287	0.935	0.239	24.000	0.117	False	3.472	0.000	True	3.090	0.063	False	0.033	0.030	0.376	0.214	0.694	0.058	0.084	0.213
2	1040	('Af', 'Bb')	['1.402', '1.571', '1.757', '1.790', '1.788', '1.265', '1.326', '1.378', '1.222', '1.527', '1.617', '1.692']	['0.157', '0.130', '0.127', '0.155', '0.231', '0.143', '0.142', '0.148', '0.151', '0.128', '0.133', '0.209']	['0.088', '0.053', '0.048', '0.074', '0.150', '0.054', '0.079', '0.064', '0.065', '0.051', '0.051', '0.126']	['0.964', '1.041', '1.036', '1.030', '1.041', '1.011', '1.038', '1.013', '1.026', '1.034', '1.010', '1.016']	['0.532', '0.566', '0.537', '0.531', '0.582', '0.625', '0.557', '0.540', '0.594', '0.545', '0.522', '0.522']	1.528	0.154	0.075	1.022	0.554	0.197	0.031	0.031	0.021	0.031	0.129	12	12	1.432	0.868	0.479	0.552	2.894	0.101	1.540	0.930	0.254	24.000	0.169	True	1.794	0.798	0.085	24.000	0.000	True	3.242	0.000	True	3.090	0.000	True	-0.196	-0.182	0.862	0.719	0.167	0.148	0.886	1.000
3	1040	('Af', 'Cm')	['1.618', '1.667', '1.793', '1.838', '2.016', '1.933', '2.175', '2.143', '1.915', '2.014', '1.971', '2.062']	['0.210', '0.187', '0.139', '0.138', '0.155', '0.155', '0.168', '0.204', '0.166', '0.224', '0.149', '0.169']	['0.098', '0.090', '0.054', '0.054', '0.067', '0.065', '0.079', '0.107', '0.073', '0.127', '0.064', '0.078']	['0.778', '0.851', '0.802', '0.797', '0.824', '0.841', '0.811', '0.856', '0.809', '0.748', '0.779', '0.767']	['0.445', '0.520', '0.481', '0.494', '0.542', '0.552', '0.505', '0.534', '0.536', '0.430', '0.473', '0.492']	1.929	0.172	0.080	0.805	0.500	0.167	0.027	0.021	0.032	0.037	0.086	12	12	1.833	0.633	0.420	0.664	3.033	0.121	0.926	1.979	0.312	24.000	0.000	True	1.287	1.424	0.239	24.000	0.000	True	4.678	0.000	True	3.090	0.013	False	-0.057	-0.052	0.882	0.723	0.223	0.112	0.502	1.000
4	1040	('Af', 'Gc')	['0.955', '1.466', '1.154', '1.322', '1.277', '0.961', '1.372', '1.101', '1.048', '1.072', '0.753', '0.889']	['0.159', '0.221', '0.203', '0.188', '0.179', '0.144', '0.187', '0.158', '0.163', '0.160', '0.146', '0.146']	['0.072', '0.106', '0.110', '0.084', '0.079', '0.059', '0.091', '0.072', '0.072', '0.072', '0.060', '0.059']	['0.789', '0.918', '0.827', '0.871', '0.821', '0.781', '0.817', '0.758', '0.825', '0.844', '0.796', '0.836']	['0.345', '0.453', '0.364', '0.416', '0.362', '0.322', '0.367', '0.320', '0.345', '0.349', '0.325', '0.332']	1.114	0.171	0.078	0.824	0.358	0.204	0.023	0.016	0.041	0.038	0.183	12	12	1.018	0.653	0.280	0.429	2.703	0.164	0.864	1.178	0.307	24.000	0.084	True	1.287	0.791	0.239	24.000	0.002	True	3.058	0.000	True	3.023	0.000	True	-0.320	-0.334	0.487	0.311	0.593	0.051	0.086	0.165
5	1040	('Af', 'Lr')	['2.063', '1.944', '2.001', '2.061', '2.073', '1.944', '1.986', '2.078', '1.930', '2.220', '1.940', '1.946']	['0.174', '0.136', '0.131', '0.143', '0.176', '0.149', '0.146', '0.160', '0.139', '0.132', '0.162', '0.137']	['0.078', '0.059', '0.060', '0.067', '0.079', '0.066', '0.067', '0.072', '0.060', '0.056', '0.069', '0.058']	['0.750', '0.787', '0.761', '0.749', '0.772', '0.731', '0.767', '0.752', '0.767', '0.751', '0.764', '0.774']	['0.591', '0.657', '0.695', '0.651', '0.625', '0.641', '0.573', '0.600', '0.633', '0.618', '0.585', '0.672']	2.015	0.149	0.066	0.760	0.628	0.083	0.015	0.007	0.014	0.035	0.041	12	12	1.919	0.611	0.562	0.920	3.279	0.072	0.952	2.015	0.270	24.000	0.000	True	1.287	1.491	0.239	24.000	0.000	True	3.235	0.020	False	3.090	0.000	True	0.189	0.169	0.755	0.707	0.294	0.139	0.473	0.223
6	1040	('Af', 'Lu')	['1.687', '1.278', '1.125', '1.654', '1.684', '1.286', '1.280', '1.561', '1.780', '1.293', '1.287', '1.301']	['0.197', '0.170', '0.164', '0.181', '0.208', '0.183', '0.183', '0.169', '0.178', '0.160', '0.172', '0.171']	['0.086', '0.083', '0.078', '0.091', '0.106', '0.093', '0.093', '0.084', '0.072', '0.074', '0.085', '0.082']	['0.839', '0.798', '0.785', '0.798', '0.849', '0.811', '0.826', '0.787', '0.825', '0.792', '0.752', '0.815']	['0.618', '0.594', '0.571', '0.571', '0.612', '0.606', '0.595', '0.591', '0.580', '0.612', '0.563', '0.627']	1.435	0.178	0.086	0.806	0.595	0.211	0.013	0.009	0.026	0.020	0.147	12	12	1.339	0.628	0.509	0.811	3.184	0.063	0.979	1.368	0.403	24.000	0.001	True	1.287	1.040	0.239	24.000	0.511	False	3.142	0.021	False	3.090	0.000	True	0.094	0.085	0.745	0.659	0.252	0.109	0.433	0.225
7	1040	('Af', 'Pd')	['1.546', '1.193', '1.123', '1.192', '1.636', '1.302', '1.190', '1.090', '1.349', '1.940', '0.993', '1.069']	['0.197', '0.179', '0.140', '0.221', '0.212', '0.182', '0.198', '0.149', '0.165', '0.167', '0.174', '0.158']	['0.088', '0.088', '0.060', '0.119', '0.093', '0.089', '0.107', '0.067', '0.071', '0.071', '0.082', '0.071']	['0.844', '0.853', '0.796', '0.901', '0.855', '0.802', '0.837', '0.764', '0.826', '0.790', '0.815', '0.805']	['0.571', '0.603', '0.570', '0.647', '0.580', '0.565', '0.591', '0.536', '0.528', '0.507', '0.579', '0.582']	1.302	0.178	0.084	0.824	0.572	0.265	0.024	0.017	0.035	0.035	0.204	12	12	1.206	0.646	0.488	0.755	3.131	0.103	0.755	1.596	0.277	24.000	0.000	True	1.287	0.937	0.239	24.000	0.383	False	3.162	0.131	False	3.090	0.048	False	0.041	0.037	0.759	0.718	0.369	0.100	0.271	0.219
8	1040	('Af', 'Pk')	['1.814', '1.871', '1.821', '1.808', '1.986', '1.862', '1.845', '1.750', '1.731', '1.842', '1.790', '1.814']	['0.156', '0.130', '0.132', '0.132', '0.125', '0.152', '0.136', '0.157', '0.151', '0.133', '0.136', '0.131']	['0.067', '0.052', '0.052', '0.053', '0.050', '0.054', '0.056', '0.067', '0.066', '0.055', '0.054', '0.053']	['0.733', '0.745', '0.724', '0.690', '0.679', '0.742', '0.705', '0.732', '0.688', '0.731', '0.644', '0.710']	['0.651', '0.556', '0.708', '0.782', '0.797', '0.712', '0.749', '0.675', '0.958', '0.710', '0.864', '0.606']	1.828	0.139	0.057	0.710	0.731	0.062	0.011	0.006	0.029	0.106	0.034	12	12	1.732	0.571	0.674	1.180	3.468	0.167	1.297	1.335	0.244	24.000	0.000	True	1.308	1.324	0.049	24.000	0.000	True	5.015	0.000	True	3.090	0.000	True	0.378	0.328	0.875	0.722	0.246	0.082	0.333	1.000
9	1040	('Af', 'Sc')	['1.781', '2.053', '1.941', '1.902', '2.176', '1.791', '1.420', '1.980', '1.812', '1.822', '1.610', '1.911']	['0.135', '0.131', '0.177', '0.129', '0.135', '0.124', '0.143', '0.177', '0.150', '0.327', '0.154', '0.148']	['0.051', '0.054', '0.116', '0.051', '0.059', '0.050', '0.055', '0.094', '0.060', '0.295', '0.070', '0.070']	['0.981', '1.077', '1.051', '1.037', '1.025', '1.052', '1.034', '1.045', '1.002', '1.083', '0.997', '1.015']	['0.502', '0.570', '0.514', '0.489', '0.517', '0.499', '0.557', '0.558', '0.555', '0.587', '0.509', '0.546']	1.850	0.146	0.066	1.029	0.529	0.190	0.017	0.020	0.027	0.027	0.103	12	11	1.754	0.883	0.463	0.524	2.855	0.081	1.503	1.167	0.243	24.000	0.002	True	1.719	1.020	0.042	24.000	0.541	False	3.595	0.000	True	3.090	0.000	True	-0.235	-0.219	0.878	0.741	0.214	0.121	0.565	1.000
